name	id	iso3166_1_alpha2	iso3166_1_shortname	fips10_4	capital	fifa_code	iso_numeric	iso_alpha_3	administrative_divisions	currency_used	official_language	gdp_nominal	gdp_nominal_per_capita	internet_tld	languages_spoken	form_of_government	national_anthem	currency_formerly_used	calling_code
Austrian Empire	/m/01nhhz				Vienna														
Chile	/m/01p1v		CHILE	CI	Santiago				Cachapoal Province,Malleco,Colchagua Province,Cauquenes Province,Arauco Province,Antofagasta Region,Linares Province,Los Lagos Region,Coyhaique Province,Atacama Region,Parinacota Province,Bío-Bío Region,El Loa Province,Llanquihue Province,Iquique Province,Coquimbo Region,Talagante Province,Huasco Province,Melipilla Province,Arica Province,Araucania,Santiago Metropolitan Region,Elqui Province,Aysen Region,Valdivia Province,Chiloé Province,General Carrera Province,Aysén Province,Chacabuco Province,Petorca Province,O'Higgins Region,Valparaíso Region,Palena Province,Easter Island,Magallanes y la Antártica Chilena Region,Quillota Province,Ranco Province,Talca Province,Choapa Province,Maule Region,Cardenal Caro Province,Tocopilla Province,Maipo Province,San Antonio Province,Antofagasta Province,San Felipe de Aconcagua Province,Magallanes Province,Tarapacá Region,Osorno Province,El Tamarugal Province	Chilean peso,Unidad de Fomento	Spanish Language,Chilean Spanish,German Language,English Language,Languages of Chile,Mapudungun Language			cl	Spanish Language,Puquina Language	Republic,Presidential system,Representative democracy	/m/045m7c1	Chilean escudo	56
Laos	/m/04hhv		LAO PEOPLE'S DEMOCRATIC REPUBLIC	LA	Vientiane				Xaisomboun,Phongsali Province,Champasak Province,Xaignabouli Province,Bolikhamxai,Louang Namtha Province,Xekong Province,Xiangkhoang Province,Vientiane Province,Houaphan,Bokeo Province,Savannakhet Province,Attapu Province,Oudomxai Province,Vientiane,Salavan Province,Louangphabang Province,Khammouan	Lao kip	French Language,Lao Language			la	English Language,French Language,Lao Language	Single-party state,Socialist Republic,Socialist state,Communist state	/m/048z_q2		856
Liberia	/m/04hzj		LIBERIA	LI	Monrovia				Grand Gedeh County,River Cess County,Grand Kru County,Gbarpolu County,Bong County,Grand Bassa County,Nimba County,Margibi County,Lofa County,Bomi County,Maryland County,Grand Cape Mount County,River Gee County,Sinoe County,Montserrado County	Liberian dollar	English Language			lr	English Language	Republic,Presidential system			
Kingdom of Hungary	/m/02rnb5c				Budapest					Hungarian korona									
Qatar	/m/0697s		QATAR	QA	Doha				Al Jumaliyah,Doha,Al Khawr,Umm Salal,Madinat ash Shamal,Al Wakrah	Qatari riyal	Arabic Language			qa	Arabic Language	Constitutional monarchy,Monarchy,Emirate,Absolute monarchy		Indian rupee	
East Asia	/m/02qnk																		
Electorate of Hanover	/m/03nlzvh																		
Grenada	/m/035yg		GRENADA	GJ	St. George's				Saint Patrick Parish,Saint David Parish,Saint Andrew Parish,Saint George Parish,Saint Mark Parish,Saint John Parish	East Caribbean dollar	English Language			gd	English Language	Parliamentary system,Constitutional monarchy		UK £	
Taiwan	/m/07dv8				Taipei						Standard Mandarin				Taiwanese Mandarin,Chinese, Hakka Language,Taiwanese	Semi-presidential system			
