name	id	vice_president	presidency_number
John Tyler	/m/042dk		10
John Adams	/m/03_js	Thomas Jefferson	2
Andrew Jackson	/m/0rlz	John C. Calhoun,Martin Van Buren	7
James Madison	/m/0424m	Elbridge Gerry,George Clinton	4
Warren G. Harding	/m/081t6	Calvin Coolidge	29
Andrew Johnson	/m/0rmg		17
Thomas Jefferson	/m/07cbs	George Clinton,Aaron Burr	3
Zachary Taylor	/m/08959	Millard Fillmore	12
Richard Nixon	/m/06c97	Spiro Agnew,Gerald Ford	37
Franklin Pierce	/m/02z51	William R. King	14
Grover Cleveland	/m/038w8	Adlai E. Stevenson,Thomas A. Hendricks	22,24
James Buchanan	/m/042fk	John C. Breckinridge	15
Ronald Reagan	/m/06c0j	George H. W. Bush	40
George W. Bush	/m/09b6zr	Dick Cheney	43
William McKinley	/m/083p7	Theodore Roosevelt,Garret Hobart	25
Chester A. Arthur	/m/01vb2		21
Woodrow Wilson	/m/083q7	Thomas R. Marshall	28
Herbert Hoover	/m/03kdl	Charles Curtis	31
Franklin D. Roosevelt	/m/02yy8	Harry S. Truman,Henry A. Wallace,John Nance Garner	32
Martin Van Buren	/m/04_0m	Richard Mentor Johnson	8
George Washington	/m/034rd	John Adams	1
Theodore Roosevelt	/m/07hyk	Charles W. Fairbanks	26
Millard Fillmore	/m/04_13		13
Ulysses S. Grant	/m/07t2k	Schuyler Colfax,Henry Wilson	18
Dwight D. Eisenhower	/m/028rk	Richard Nixon	34
Bill Clinton	/m/0157m	Al Gore	42
Gerald Ford	/m/0c_md_	Nelson Rockefeller	38
James Monroe	/m/042d1	Daniel D. Tompkins	5
William Howard Taft	/m/083pr	James S. Sherman	27
Calvin Coolidge	/m/01vbl	Charles G. Dawes	30
Harry S. Truman	/m/09bg4l	Alben W. Barkley	33
James Garfield	/m/0b22w	Chester A. Arthur	20
Barack Obama	/m/02mjmr	Joe Biden	44
John Quincy Adams	/m/03_nq	John C. Calhoun	6
Jimmy Carter	/m/042kg	Walter Mondale	39
John F. Kennedy	/m/0d3k14	Lyndon B. Johnson	35
James K. Polk	/m/042f1	George M. Dallas	11
Benjamin Harrison	/m/01b61	Levi P. Morton	23
George H. W. Bush	/m/034ls	Dan Quayle	41
Rutherford B. Hayes	/m/06g42	William A. Wheeler	19
Abraham Lincoln	/m/0gzh	Hannibal Hamlin,Andrew Johnson	16
William Henry Harrison	/m/0835q	John Tyler	9
Lyndon B. Johnson	/m/0f7fy	Hubert Humphrey	36
